Level,word_ID,topic,p,word
0,1,1,0.013944223107569721,radiofrequency
0,2,1,0.28884462151394424,ablation
0,8,1,0.027888446215139442,cs
0,22,1,0.00796812749003984,thermocool
0,25,1,0.00796812749003984,ventrical
0,101,1,0.0199203187250996,cool
0,102,1,0.02390438247011952,path
0,109,1,0.017928286852589643,mapping
0,114,1,0.01195219123505976,ablating
0,206,1,0.10956175298804781,temperature
0,222,1,0.01195219123505976,duo
0,279,1,0.021912350597609563,42
0,281,1,0.01593625498007968,celsius
0,316,1,0.02390438247011952,outflow
0,321,1,0.00796812749003984,transthoracic
0,417,1,0.02390438247011952,lasso
0,645,1,0.043824701195219126,isolation
0,646,1,0.01593625498007968,pvi
0,729,1,0.04183266932270916,persisted
0,791,1,0.013944223107569721,flashed
0,795,1,0.00796812749003984,perforations
0,806,1,0.045816733067729085,aborted
0,819,1,0.01195219123505976,transseptal
0,931,1,0.00796812749003984,rvot
0,1139,1,0.06374501992031872,uterine
0,1180,1,0.0199203187250996,endometrial
0,1190,1,0.00796812749003984,mapped
0,1191,1,0.00796812749003984,fluoro
0,1247,1,0.013944223107569721,steam
0,1319,1,0.0099601593625498,ablated
0,3257,1,0.00796812749003984,jude
0,3271,1,0.01593625498007968,veins
0,4544,1,0.00796812749003984,pe
0,4999,1,0.0099601593625498,stopping
0,5218,1,0.0099601593625498,apparatus
0,3,2,0.5931232091690545,ventricular
0,167,2,0.3825214899713467,pacing
0,2773,2,0.024355300859598854,sense
0,4,3,0.21746575342465754,tachycardia
0,5,3,0.10102739726027397,vt
0,35,3,0.0273972602739726,consultant
0,98,3,0.10445205479452055,fibrillation
0,170,3,0.0410958904109589,vf
0,174,3,0.1643835616438356,rhythm
0,472,3,0.0136986301369863,flutter
0,910,3,0.06506849315068493,zone
0,1043,3,0.00684931506849315,therapies
0,1781,3,0.03424657534246575,bpm
0,1844,3,0.02910958904109589,af
0,2934,3,0.02910958904109589,atp
0,3903,3,0.017123287671232876,joule
0,4193,3,0.02226027397260274,accelerated
0,5194,3,0.05650684931506849,beats
0,5416,3,0.011986301369863013,exhausted
0,5652,3,0.0136986301369863,inhibited
0,5668,3,0.02910958904109589,escape
0,5674,3,0.00684931506849315,acceleration
0,5675,3,0.008561643835616438,slowed
