Level,word_ID,topic,p,word
0,1,1,0.02661596958174904,radiofrequency
0,299,1,0.3041825095057034,pad
0,1882,1,0.17490494296577946,jaw
0,4381,1,0.06463878326996197,peeled
0,4602,1,0.07984790874524715,teflon
0,5160,1,0.06844106463878327,ptfe
0,5839,1,0.02281368821292775,grounding
0,6002,1,0.01901140684410646,dissect
0,6013,1,0.07224334600760456,tb
0,6096,1,0.11787072243346008,thunderbeat
0,6097,1,0.02281368821292775,0535fc
0,6102,1,0.02661596958174904,0535fcs
0,2,2,0.36523929471032746,ablation
0,23,2,0.0327455919395466,map
0,101,2,0.02518891687657431,cool
0,102,2,0.03022670025188916,path
0,114,2,0.01511335012594458,ablating
0,206,2,0.1385390428211587,temperature
0,222,2,0.01511335012594458,duo
0,279,2,0.02770780856423173,42
0,281,2,0.02015113350125944,celsius
0,316,2,0.03022670025188916,outflow
0,417,2,0.03022670025188916,lasso
0,645,2,0.05541561712846347,isolation
0,646,2,0.02015113350125944,pvi
0,732,2,0.02015113350125944,revealing
0,931,2,0.01007556675062972,rvot
0,1082,2,0.02770780856423173,curve
0,1171,2,0.02518891687657431,thermometer
0,1180,2,0.02518891687657431,endometrial
0,1247,2,0.01763224181360201,steam
0,1319,2,0.01259445843828715,ablated
0,3255,2,0.01007556675062972,jude
0,3269,2,0.02015113350125944,veins
0,4984,2,0.01259445843828715,stopping
0,5201,2,0.01259445843828715,apparatus
0,3,3,0.5500667556742324,ventricular
0,3040,3,0.27837116154873165,rv
0,3413,3,0.1548731642189586,exhibited
0,3482,3,0.00467289719626168,trends
0,3512,3,0.01201602136181575,exhibiting
0,4,4,0.18649045521292215,tachycardia
0,5,4,0.08663729809104258,vt
0,98,4,0.08957415565345081,fibrillation
0,170,4,0.03524229074889868,vf
0,174,4,0.1395007342143906,rhythm
0,472,4,0.01174743024963289,flutter
0,1043,4,0.00587371512481644,therapies
0,1773,4,0.09838472834067548,shocks
0,1844,4,0.02496328928046989,af
0,2422,4,0.02055800293685756,respond
0,2880,4,0.013215859030837,41
0,2913,4,0.10866372980910426,inappropriate
0,2932,4,0.02496328928046989,atp
0,3027,4,0.02055800293685756,arrhythmia
0,3898,4,0.013215859030837,joule
0,3921,4,0.03377386196769456,electrocardiogram
0,4006,4,0.00734214390602055,revived
0,4183,4,0.01908957415565345,accelerated
0,5298,4,0.00734214390602055,inappropriately
0,5390,4,0.01027900146842878,exhausted
0,5645,4,0.00587371512481644,acceleration
