Level,word_ID,topic,p,word
0,1,1,0.7990919409761634,patient
0,115,1,0.14358683314415438,reported
0,133,1,0.05732122587968218,swelling
0,2,2,0.3767885532591415,underwent
0,10,2,0.5945945945945946,surgery
0,191,2,0.028616852146263912,resurfacing
0,3,3,0.05907172995780591,ventricular
0,4,3,0.016877637130801686,tachycardia
0,18,3,0.04219409282700422,pericardial
0,19,3,0.07172995780590717,effusion
0,54,3,0.016877637130801686,tamponade
0,486,3,0.02531645569620253,dislodged
0,550,3,0.31645569620253167,lead
0,559,3,0.016877637130801686,testing
0,566,3,0.03375527426160337,exhibited
0,568,3,0.02109704641350211,impedances
0,581,3,0.029535864978902954,perforated
0,582,3,0.08438818565400844,rv
0,599,3,0.029535864978902954,atrial
0,600,3,0.02531645569620253,measurements
0,601,3,0.03375527426160337,sensing
0,602,3,0.016877637130801686,impedence
0,603,3,0.016877637130801686,ohms
0,604,3,0.02531645569620253,threshold
0,605,3,0.016877637130801686,0.4ms
0,634,3,0.02531645569620253,capture
0,692,3,0.016877637130801686,hospitalized
0,1030,3,0.016877637130801686,thresholds
0,1102,3,0.02531645569620253,pacing
0,1188,3,0.016877637130801686,maximum
0,5,4,0.36794582392776526,procedure
0,6,4,0.024830699774266364,completed
0,13,4,0.08577878103837472,pressure
0,27,4,0.16478555304740405,complained
0,222,4,0.27313769751693,implanted
0,552,4,0.03160270880361174,placement
0,863,4,0.05191873589164785,result
0,7,5,0.09165902841429881,approximately
0,8,5,0.035747021081576534,8
0,30,5,0.05774518790100825,situ
0,75,5,0.08615948670944087,2
0,77,5,0.027497708524289642,10
0,78,5,0.17873510540788268,months
0,84,5,0.006416131989000917,apparent
0,87,5,0.09440879926672777,3
0,101,5,0.04766269477543538,1
0,102,5,0.022914757103574702,month
0,106,5,0.05682859761686526,4
0,123,5,0.044912923923006415,5
0,124,5,0.00916590284142988,alleged
0,127,5,0.008249312557286892,11
0,131,5,0.04124656278643447,ago
0,134,5,0.05774518790100825,6
0,137,5,0.03391384051329056,7
0,139,5,0.00458295142071494,alval
0,155,5,0.02933088909257562,unknown
0,176,5,0.017415215398716773,9
0,197,5,0.016498625114573784,period
0,335,5,0.005499541704857928,history
0,354,5,0.00916590284142988,deep
0,449,5,0.008249312557286892,13
0,476,5,0.008249312557286892,18
0,9,6,0.13368983957219252,hours
0,67,6,0.06417112299465241,vomiting
0,158,6,0.0748663101604278,approx
0,213,6,0.47058823529411764,days
0,299,6,0.0374331550802139,half
0,352,6,0.026737967914438502,covered
0,393,6,0.0427807486631016,16
0,987,6,0.026737967914438502,100
0,1026,6,0.026737967914438502,told
0,1060,6,0.026737967914438502,believed
0,1065,6,0.0374331550802139,removing
0,1100,6,0.03208556149732621,discharged
0,11,7,0.17678100263852242,patient's
0,44,7,0.0158311345646438,impedance
0,161,7,0.018469656992084433,extension
0,241,7,0.013192612137203167,allegedly
0,353,7,0.079155672823219,system
0,426,7,0.036939313984168866,reportedly
0,442,7,0.14511873350923482,physician
0,523,7,0.0395778364116095,issue
0,546,7,0.036939313984168866,intervention
0,558,7,0.06068601583113457,stimulation
0,560,7,0.0316622691292876,scs
0,561,7,0.0158311345646438,reprogramming
0,562,7,0.0158311345646438,unsuccessful
0,567,7,0.010554089709762533,invalid
0,571,7,0.047493403693931395,percutaneous
0,572,7,0.09234828496042216,leads
0,573,7,0.026385224274406333,lots
0,575,7,0.0158311345646438,coverage
0,579,7,0.013192612137203167,undertaken
0,587,7,0.010554089709762533,programs
0,589,7,0.010554089709762533,dual
0,594,7,0.010554089709762533,existing
0,609,7,0.0158311345646438,addition
0,836,7,0.029023746701846966,therapy
0,1073,7,0.021108179419525065,recipient
0,1208,7,0.010554089709762533,pej
0,12,8,0.225,blood
0,23,8,0.125,fluid
0,38,8,0.03214285714285714,stage
0,39,8,0.05,low
0,141,8,0.21428571428571427,joint
0,148,8,0.04285714285714286,tests
0,192,8,0.02142857142857143,limited
0,199,8,0.2,increased
0,293,8,0.060714285714285714,arm
0,525,8,0.02857142857142857,formation
0,14,9,0.02301255230125523,dropped
0,412,9,0.02092050209205021,stents
0,467,9,0.03347280334728033,cm
0,680,9,0.03347280334728033,failed
0,694,9,0.03765690376569038,dilate
0,991,9,0.09205020920502092,nc
0,992,9,0.01882845188284519,inflated
0,994,9,0.02301255230125523,main
0,995,9,0.06694560669456066,lm
0,996,9,0.016736401673640166,rotablated
0,997,9,0.016736401673640166,1.75
0,998,9,0.03347280334728033,rotalink
0,999,9,0.02092050209205021,burr
0,1000,9,0.016736401673640166,advancer
0,1001,9,0.016736401673640166,300
0,1002,9,0.016736401673640166,rotawire
0,1003,9,0.016736401673640166,directions
0,1004,9,0.016736401673640166,dfu
0,1005,9,0.0502092050209205,3.0x20mm
0,1006,9,0.08368200836820083,emerge
0,1007,9,0.0502092050209205,synergy
0,1008,9,0.016736401673640166,introduced
0,1009,9,0.03556485355648536,3.5x20mm
0,1010,9,0.01882845188284519,delivered
0,1011,9,0.016736401673640166,3.0x24mm
0,1012,9,0.016736401673640166,4.0x20mm
0,1014,9,0.05230125523012552,premier
0,1015,9,0.03347280334728033,4.0x15mm
0,1016,9,0.016736401673640166,briefly
0,1017,9,0.03765690376569038,final
0,1018,9,0.016736401673640166,inflation
0,1019,9,0.016736401673640166,cine
0,1020,9,0.016736401673640166,responsive
0,15,10,0.5169902912621359,experienced
0,300,10,0.11650485436893204,causing
0,350,10,0.04611650485436893,migration
0,460,10,0.32038834951456313,device
0,16,11,0.624,chest
0,28,11,0.16,observed
0,496,11,0.216,perforation
0,17,12,0.8914829226113273,pain
0,150,12,0.039342844790315606,infection
0,189,12,0.02464332036316472,ongoing
0,232,12,0.005620406398616515,persistent
0,450,12,0.027237354085603113,discomfort
